country,happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,internet_access_population[%],cellular_subscriptions[%],surplus_deficit_gdp[%],familiy_income_gini_coeff,gdp_per_capita[$],inflation_rate[%],military_expenditures[%_of_gdp],map_reference,biggest_official_language,population
Lesotho,139,3.8080000877,0.5210212469,1.1900951862,0,0.3906612992,0.1574972719,0.11909464,1.4298353195,27.4,122,-3.8,63.2,,5.6,1.85,Africa,Sesotho,1958042
Angola,140,3.7950000763,0.8584281802,1.1044119596,0.0498686656,0,0.09792649,0.0697203353,1.6144824028,13,45,-7.3,42.7,,31.7,2.95,Africa,Portuguese,29310273
Afghanistan,141,3.7939999104,0.4014772177,0.5815433264,0.1807467788,0.1061795205,0.3118709326,0.0611578301,2.1508011818,10.6,70,-14.5,,,5,0.89,Asia,Afghan Persian or Dari,34124811
Botswana,142,3.7660000324,1.1220941544,1.2215549946,0.3417555094,0.5051963329,0.0993484482,0.0985831991,0.3779137135,39.4,146,-2.8,60.5,,3.3,3.37,Africa,Setswana,2214858
Benin,143,3.6570000648,0.4310854077,0.4352998435,0.2099302113,0.4259627759,0.2079484612,0.0609290153,1.8856309652,12,79,-9.4,36.5,,0.1,1.14,Africa,French,11038805
Madagascar,144,3.6440000534,0.3058086932,0.9130203724,0.3752233088,0.1891967654,0.2087325305,0.0672319755,1.584612608,4.7,35,-2.3,41,,8.1,0.53,Africa,French,25054161
Haiti,145,3.6029999256,0.3686102629,0.6404498219,0.27732113,0.0303698573,0.4892037809,0.0998721495,1.697167635,12.2,61,-8,60.8,,14.7,,Central America and the Caribbean,French,10646714
Yemen,146,3.5929999352,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.1041252092,0.0567674227,1.345600605,24.6,59,-6.9,37.9,,4.9,3.97,Middle East,Arabic,28036829
South Sudan,147,3.5910000801,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.2856708169,0.1167935133,1.8795673847,,12,-1.3,46,,187.9,10.93,Africa,English,13026129
Liberia,148,3.5329999924,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.2665498853,0.0389482491,1.6732859612,7.3,66,-4.7,32,,12.4,0.62,Africa,English,4689021
Guinea,149,3.5069999695,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.2648150921,0.1109376177,1.5523118973,9.8,87,-3.4,39.4,,8.9,2.49,Africa,French,12413867
Togo,150,3.4949998856,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.1968961507,0.0956650153,1.8372292519,11.3,78,-4.8,46,,-0.7,1.86,Africa,French,7965055
Rwanda,151,3.4709999561,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.2527560294,0.4552200139,0.5400612354,29.8,74,-4.3,50.4,,4.8,1.21,Africa,Kinyarwanda,11901484
Syria,152,3.4619998932,0.7771531343,0.3961026073,0.5005333424,0.0815394446,0.4936637282,0.1513471305,1.0615735054,31.9,87,-8.7,,,25.5,,Middle East,Arabic,18028549
Tanzania,153,3.3489999771,0.5111358762,1.0419898033,0.3645092845,0.3900177777,0.3542563617,0.0660351068,0.6211304665,13,74,-2.7,37.6,,5.3,1.14,Africa,Kiswahili or Swahili,53950935
Burundi,154,2.9049999714,0.0916225687,0.6297935843,0.1516107917,0.0599007532,0.2044351846,0.084147945,1.683024168,5.2,52,-4.2,42.4,,16.6,2.21,Africa,Kirundi,11466756
Central African Republic,155,2.6930000782,0,0,0.0187726859,0.2708420455,0.2808764875,0.0565650761,2.0660047531,4.6,22,-2,43.6,,3.8,,Africa,French,5625118
