record_name;target_label;original_abstract;year;url;processed_title;processed_abstract
Adaptive Multilinear Tensor Product Wavelets;['multi-resolution model'];Many foundational visualization techniques including isosurfacing, direct volume rendering and texture mapping rely on piecewise multilinear interpolation over the cells of a mesh. However, there has not been much focus within the visualization community on techniques that efficiently generate and encode globally continuous functions defined by the union of multilinear cells. Wavelets provide a rich context for analyzing and processing complicated datasets. In this paper, we exploit adaptive regular refinement as a means of representing and evaluating functions described by a subset of their nonzero wavelet coefficients. We analyze the dependencies involved in the wavelet transform and describe how to generate and represent the coarsest adaptive mesh with nodal function values such that the inverse wavelet transform is exactly reproduced via simple interpolation (subdivision) over the mesh elements. This allows for an adaptive, sparse representation of the function with on-demand evaluation at any point in the domain. We focus on the popular wavelets formed by tensor products of linear B-splines, resulting in an adaptive, nonconforming but crack-free quadtree (2D) or octree (3D) mesh that allows reproducing globally continuous functions via multilinear interpolation over its cells.;2015;http://dx.doi.org/10.1109/TVCG.2015.2467412;adaptive multilinear tensor product wavelets;foundational techniques including isosurfacing direct volume rendering texture mapping rely piecewise multilinear interpolation cells mesh however focus community techniques efficiently generate encode globally continuous functions defined union multilinear cells wavelets provide rich context processing complicated datasets exploit adaptive regular refinement means representing evaluating functions described subset nonzero wavelet coefficients analyze dependencies involved wavelet transform generate represent coarsest adaptive mesh nodal function values inverse wavelet transform exactly reproduced simple interpolation subdivision mesh elements allows adaptive sparse representation function ondemand evaluation point domain focus popular wavelets formed tensor products linear bsplines resulting adaptive nonconforming crackfree quadtree octree mesh allows reproducing globally continuous functions multilinear interpolation cells
Supercubes: A High-Level Primitive for Diamond Hierarchies;['multi-resolution model'];Volumetric datasets are often modeled using a multiresolution approach based on a nested decomposition of the domain into a polyhedral mesh. Nested tetrahedral meshes generated through the longest edge bisection rule are commonly used to decompose regular volumetric datasets since they produce highly adaptive crack-free representations. Efficient representations for such models have been achieved by clustering the set of tetrahedra sharing a common longest edge into a structure called a diamond. The alignment and orientation of the longest edge can be used to implicitly determine the geometry of a diamond and its relations to the other diamonds within the hierarchy. We introduce the supercube as a high-level primitive within such meshes that encompasses all unique types of diamonds. A supercube is a coherent set of edges corresponding to three consecutive levels of subdivision. Diamonds are uniquely characterized by the longest edge of the tetrahedra forming them and are clustered in supercubes through the association of the longest edge of a diamond with a unique edge in a supercube. Supercubes are thus a compact and highly efficient means of associating information with a subset of the vertices, edges and tetrahedra of the meshes generated through longest edge bisection. We demonstrate the effectiveness of the supercube representation when encoding multiresolution diamond hierarchies built on a subset of the points of a regular grid. We also show how supercubes can be used to efficiently extract meshes from diamond hierarchies and to reduce the storage requirements of such variable-resolution meshes.;2009;http://dx.doi.org/10.1109/TVCG.2009.186;supercubes highlevel primitive diamond hierarchies;volumetric datasets often modeled multiresolution based nested decomposition domain polyhedral mesh nested tetrahedral meshes generated longest edge bisection rule commonly decompose regular volumetric datasets since produce highly adaptive crackfree representations efficient representations models achieved clustering set tetrahedra sharing longest edge structure called diamond alignment orientation longest edge implicitly determine geometry diamond relations diamonds hierarchy supercube highlevel primitive meshes encompasses unique types diamonds supercube coherent set edges corresponding three consecutive levels subdivision diamonds uniquely characterized longest edge tetrahedra forming clustered supercubes association longest edge diamond unique edge supercube supercubes thus compact highly efficient means associating information subset vertices edges tetrahedra meshes generated longest edge bisection demonstrate effectiveness supercube representation encoding multiresolution diamond hierarchies built subset points regular grid supercubes efficiently extract meshes diamond hierarchies reduce storage requirements variableresolution meshes
Real-time refinement and simplification of adaptive triangular meshes;['level-of-detail', 'multi-resolution'];In this paper we present a generic method for incremental mesh adaptation based on hierarchy of semi-regular meshes. Our method supports any refinement rule mapping vertices onto vertices such as 1-to-4 split or /spl radic/3-subdivision. Resulting adaptive mesh has subdivision connectivity and hence good aspect ratio of triangles. Hierarchic representation of the mesh allows incremental local refinement and simplification operations exploiting frame-to-frame coherence. We also present an out-of-core storage layout scheme designed for semi-regular meshes of arbitrary subdivision connectivity. It provides high cache coherency in the data retrieval and relies on the interleaved storage of resolution levels and maintaining good geometrical proximity within each level. The efficiency of the proposed method is demonstrated with applications in physically-based cloth simulation, real-time terrain visualization and procedural modeling.;2003;http://dx.doi.org/10.1109/VISUAL.2003.1250367;realtime refinement simplification adaptive triangular meshes;generic method incremental mesh adaptation based hierarchy semiregular meshes method supports refinement rule mapping vertices onto vertices split spl radicsubdivision resulting adaptive mesh subdivision connectivity hence good aspect ratio triangles hierarchic representation mesh allows incremental local refinement simplification operations exploiting frametoframe coherence outofcore storage layout scheme designed semiregular meshes arbitrary subdivision connectivity provides high cache coherency retrieval relies interleaved storage resolution levels maintaining good geometrical proximity level efficiency proposed method demonstrated applications physicallybased cloth simulation realtime terrain procedural modeling
Implant sprays: compression of progressive tetrahedral mesh connectivity;['multi-resolution model'];"Irregular tetrahedral meshes, which are popular in many engineering and scientific applications, often contain a large number of vertices. A mesh of V vertices and T tetrahedra requires 48 V bits or less to store the vertex coordinates, 4/spl middot/T/spl middot/log/sub 2/(V) bits to store the tetrahedra-vertex incidence relations, also called connectivity information, and kV bits to store the k-bit value samples associated with the vertices. Given that T is 5 to 7 times larger than V and that V often exceeds 32/sup 3/, the storage space required for the connectivity is larger than 300 V bits and thus dominates the overall storage cost. Our \""implants spray\"" compression approach introduced in the paper reduces this cost to about 30 V bits or less-a 10:1 compression ratio. Furthermore, implant spray supports the progressive refinement of a crude model through a series of vertex-splits operations.";1999;http://dx.doi.org/10.1109/VISUAL.1999.809901;implant sprays compression progressive tetrahedral mesh connectivity;irregular tetrahedral meshes popular engineering scientific applications often large number vertices mesh v vertices tetrahedra requires v bits less store vertex coordinates spl middottspl middotlogsub v bits store tetrahedravertex incidence relations called connectivity information kv bits store kbit value samples associated vertices times larger v v often exceeds storage space required connectivity larger v bits thus dominates overall storage cost implants spray compression introduced reduces cost v bits lessa compression ratio furthermore implant spray supports progressive refinement crude model series vertexsplits operations
Simplification of tetrahedral meshes;['visualization'];We present a method for the construction of multiple levels of tetrahedral meshes approximating a trivariate function at different levels of detail. Starting with an initial, high-resolution triangulation of a three-dimensional region, we construct coarser representation levels by collapsing tetrahedra. Each triangulation defines a linear spline function, where the function values associated with the vertices are the spline coefficients. Based on predicted errors, we collapse tetrahedron in the grid that do not cause the maximum error to exceed a use-specified threshold. Bounds are stored for individual tetrahedra and are updated as the mesh is simplified. We continue the simplification process until a certain error is reached. The result is a hierarchical data description suited for the efficient visualization of large data sets at varying levels of detail.;1998;http://dx.doi.org/10.1109/VISUAL.1998.745315;simplification tetrahedral meshes;method construction multiple levels tetrahedral meshes approximating trivariate function different levels detail starting initial highresolution triangulation threedimensional region construct coarser representation levels collapsing tetrahedra triangulation defines linear spline function function values associated vertices spline coefficients based predicted errors collapse tetrahedron grid cause maximum error exceed usespecified threshold bounds stored individual tetrahedra updated mesh simplified continue simplification process certain error reached result hierarchical description suited efficient large sets varying levels detail
Interpolation of triangle hierarchies;['level-of-detail'];We consider interpolation between keyframe hierarchies. We impose a set of weak constraints that allows smooth interpolation between two keyframe hierarchies in an animation or, more generally, allows the interpolation in an n-parameter family of hierarchies. We use hierarchical triangulations obtained by the Rivara element bisection algorithm (M. Rivara, 1984) and impose a weak compatibility constraint on the set of root elements of all keyframe hierarchies. We show that the introduced constraints are rather weak. The strength of our approach is that the interpolation works in the class of conforming triangulations and simplifies the task of finding the intermediate hierarchy, which is the union of the two (or more) keyframe hierarchies involved in the interpolation process. This allows for an efficient generation of the intermediate connectivity and additionally ensures that the intermediate hierarchy is again a conforming hierarchy satisfying the same constraints.;1998;http://dx.doi.org/10.1109/VISUAL.1998.745328;interpolation triangle hierarchies;consider interpolation keyframe hierarchies impose set weak constraints allows smooth interpolation two keyframe hierarchies animation allows interpolation nparameter family hierarchies use hierarchical triangulations obtained rivara element bisection algorithm rivara impose weak compatibility constraint set root elements keyframe hierarchies introduced constraints rather weak strength interpolation works class conforming triangulations simplifies task finding intermediate hierarchy union two keyframe hierarchies involved interpolation process allows efficient generation intermediate connectivity additionally ensures intermediate hierarchy conforming hierarchy satisfying constraints
In Situ Eddy Analysis in a High-Resolution Ocean Climate Model;['feature extraction'];An eddy is a feature associated with a rotating body of fluid, surrounded by a ring of shearing fluid. In the ocean, eddies are 10 to 150 km in diameter, are spawned by boundary currents and baroclinic instabilities, may live for hundreds of days, and travel for hundreds of kilometers. Eddies are important in climate studies because they transport heat, salt, and nutrients through the world's oceans and are vessels of biological productivity. The study of eddies in global ocean-climate models requires large-scale, high-resolution simulations. This poses a problem for feasible (timely) eddy analysis, as ocean simulations generate massive amounts of data, causing a bottleneck for traditional analysis workflows. To enable eddy studies, we have developed an in situ workflow for the quantitative and qualitative analysis of MPAS-Ocean, a high- resolution ocean climate model, in collaboration with the ocean model research and development process. Planned eddy analysis at high spatial and temporal resolutions will not be possible with a postprocessing workflow due to various constraints, such as storage size and I/O time, but the in situ workflow enables it and scales well to ten-thousand processing elements.;2015;http://dx.doi.org/10.1109/TVCG.2015.2467411;situ eddy analysis highresolution ocean climate model;eddy feature associated rotating body fluid surrounded ring shearing fluid ocean eddies km diameter spawned boundary currents baroclinic instabilities may live hundreds days travel hundreds kilometers eddies important climate transport heat salt nutrients worlds oceans vessels biological productivity eddies global oceanclimate models requires largescale highresolution simulations poses feasible timely eddy analysis ocean simulations generate massive amounts causing bottleneck traditional analysis workflows enable eddy situ workflow quantitative qualitative analysis mpasocean high resolution ocean climate model collaboration ocean model research development process planned eddy analysis high spatial temporal resolutions possible postprocessing workflow due various constraints storage size io time situ workflow enables scales well tenthousand processing elements
Trajectory-Based Flow Feature Tracking in Joint Particle/Volume Datasets;['flowvisualization'];Studying the dynamic evolution of time-varying volumetric data is essential in countless scientific endeavors. The ability to isolate and track features of interest allows domain scientists to better manage large complex datasets both in terms of visual understanding and computational efficiency. This work presents a new trajectory-based feature tracking technique for use in joint particle/volume datasets. While traditional feature tracking approaches generally require a high temporal resolution, this method utilizes the indexed trajectories of corresponding Lagrangian particle data to efficiently track features over large jumps in time. Such a technique is especially useful for situations where the volume dataset is either temporally sparse or too large to efficiently track a feature through all intermediate timesteps. In addition, this paper presents a few other applications of this approach, such as the ability to efficiently track the internal properties of volumetric features using variables from the particle data. We demonstrate the effectiveness of this technique using real world combustion and atmospheric datasets and compare it to existing tracking methods to justify its advantages and accuracy.;2014;http://dx.doi.org/10.1109/TVCG.2014.2346423;trajectorybased flow feature tracking joint particlevolume datasets;studying dynamic evolution timevarying volumetric essential countless scientific endeavors ability isolate track features interest allows domain scientists manage large complex datasets terms understanding computational efficiency presents trajectorybased feature tracking technique use joint particlevolume datasets traditional feature tracking approaches require high temporal resolution method utilizes indexed trajectories corresponding lagrangian particle efficiently track features large jumps time technique especially useful situations volume dataset either temporally sparse large efficiently track feature intermediate timesteps addition presents applications ability efficiently track internal properties volumetric features variables particle demonstrate effectiveness technique real world combustion atmospheric datasets compare tracking methods justify advantages accuracy
Analysis of Streamline Separation at Infinity Using Time-Discrete Markov Chains;['feature extraction'];Existing methods for analyzing separation of streamlines are often restricted to a finite time or a local area. In our paper we introduce a new method that complements them by allowing an infinite-time- evaluation of steady planar vector fields. Our algorithm unifies combinatorial and probabilistic methods and introduces the concept of separation in time- discrete Markov-Chains. We compute particle distributions instead of the streamlines of single particles. We encode the flow into a map and then into a transition matrix for each time direction. Finally, we compare the results of our grid-independent algorithm to the popular Finite-Time-Lyapunov-Exponents and discuss the discrepancies.;2012;http://dx.doi.org/10.1109/TVCG.2012.198;analysis streamline separation infinity timediscrete markov chains;methods separation streamlines often restricted finite time local area method complements allowing infinitetime evaluation steady planar vector fields algorithm unifies combinatorial probabilistic methods introduces concept separation time discrete markovchains compute particle distributions instead streamlines single particles encode flow map transition matrix time direction finally compare results gridindependent algorithm popular finitetimelyapunovexponents discuss discrepancies
Adaptive Extraction and Quantification of Geophysical Vortices;['feature extraction'];We consider the problem of extracting discrete two-dimensional vortices from a turbulent flow. In our approach we use a reference model describing the expected physics and geometry of an idealized vortex. The model allows us to derive a novel correlation between the size of the vortex and its strength, measured as the square of its strain minus the square of its vorticity. For vortex detection in real models we use the strength parameter to locate potential vortex cores, then measure the similarity of our ideal analytical vortex and the real vortex core for different strength thresholds. This approach provides a metric for how well a vortex core is modeled by an ideal vortex. Moreover, this provides insight into the problem of choosing the thresholds that identify a vortex. By selecting a target coefficient of determination (i.e., statistical confidence), we determine on a per-vortex basis what threshold of the strength parameter would be required to extract that vortex at the chosen confidence. We validate our approach on real data from a global ocean simulation and derive from it a map of expected vortex strengths over the global ocean.;2011;http://dx.doi.org/10.1109/TVCG.2011.162;adaptive extraction quantification geophysical vortices;consider extracting discrete twodimensional vortices turbulent flow use reference model describing expected physics geometry idealized vortex model allows derive correlation size vortex strength measured square strain minus square vorticity vortex detection real models use strength parameter locate potential vortex cores measure similarity ideal analytical vortex real vortex core different strength thresholds provides metric well vortex core modeled ideal vortex moreover provides insight choosing thresholds identify vortex selecting target coefficient determination ie statistical confidence determine pervortex threshold strength parameter would required extract vortex chosen confidence validate real global ocean simulation derive map expected vortex strengths global ocean
Two-Dimensional Time-Dependent Vortex Regions Based on the Acceleration Magnitude;['feature extraction'];Acceleration is a fundamental quantity of flow fields that captures Galilean invariant properties of particle motion. Considering the magnitude of this field, minima represent characteristic structures of the flow that can be classified as saddle- or vortex-like. We made the interesting observation that vortex-like minima are enclosed by particularly pronounced ridges. This makes it possible to define boundaries of vortex regions in a parameter-free way. Utilizing scalar field topology, a robust algorithm can be designed to extract such boundaries. They can be arbitrarily shaped. An efficient tracking algorithm allows us to display the temporal evolution of vortices. Various vortex models are used to evaluate the method. We apply our method to two-dimensional model systems from computational fluid dynamics and compare the results to those arising from existing definitions.;2011;http://dx.doi.org/10.1109/TVCG.2011.249;twodimensional timedependent vortex regions based acceleration magnitude;acceleration fundamental quantity flow fields captures galilean invariant properties particle motion considering magnitude field minima represent characteristic structures flow classified saddle vortexlike made interesting observation vortexlike minima enclosed particularly pronounced ridges makes possible define boundaries vortex regions parameterfree way utilizing scalar field topology robust algorithm designed extract boundaries arbitrarily shaped efficient tracking algorithm allows display temporal evolution vortices various vortex models evaluate method method twodimensional model systems computational fluid dynamics compare results arising definitions
Predictor-Corrector Schemes for Visualization ofSmoothed Particle Hydrodynamics Data;['flowvisualization', 'feature extraction'];In this paper we present a method for vortex core line extraction which operates directly on the smoothed particle hydrodynamics (SPH) representation and, by this, generates smoother and more (spatially and temporally) coherent results in an efficient way. The underlying predictor-corrector scheme is general enough to be applied to other line-type features and it is extendable to the extraction of surfaces such as isosurfaces or Lagrangian coherent structures. The proposed method exploits temporal coherence to speed up computation for subsequent time steps. We show how the predictor-corrector formulation can be specialized for several variants of vortex core line definitions including two recent unsteady extensions, and we contribute a theoretical and practical comparison of these. In particular, we reveal a close relation between unsteady extensions of Fuchs et al. and Weinkauf et al. and we give a proof of the Galilean invariance of the latter. When visualizing SPH data, there is the possibility to use the same interpolation method for visualization as has been used for the simulation. This is different from the case of finite volume simulation results, where it is not possible to recover from the results the spatial interpolation that was used during the simulation. Such data are typically interpolated using the basic trilinear interpolant, and if smoothness is required, some artificial processing is added. In SPH data, however, the smoothing kernels are specified from the simulation, and they provide an exact and smooth interpolation of data or gradients at arbitrary points in the domain.;2009;http://dx.doi.org/10.1109/TVCG.2009.173;predictorcorrector schemes ofsmoothed particle hydrodynamics;method vortex core line extraction operates directly smoothed particle hydrodynamics sph representation generates smoother spatially temporally coherent results efficient way underlying predictorcorrector scheme general enough applied linetype features extendable extraction surfaces isosurfaces lagrangian coherent structures proposed method exploits temporal coherence speed computation subsequent time steps predictorcorrector formulation specialized several variants vortex core line definitions including two unsteady extensions contribute theoretical practical comparison particular reveal close relation unsteady extensions fuchs et al weinkauf et al give proof galilean invariance latter sph possibility use interpolation method simulation different case finite volume simulation results possible recover results spatial interpolation simulation typically interpolated basic trilinear interpolant smoothness required artificial processing added sph however smoothing kernels specified simulation provide exact smooth interpolation gradients arbitrary points domain
Texture-based feature tracking for effective time-varying data visualization;['visualization'];Analyzing, visualizing, and illustrating changes within time-varying volumetric data is challenging due to the dynamic changes occurring between timesteps. The changes and variations in computational fluid dynamic volumes and atmospheric 3D datasets do not follow any particular transformation. Features within the data move at different speeds and directions making the tracking and visualization of these features a difficult task. We introduce a texture-based feature tracking technique to overcome some of the current limitations found in the illustration and visualization of dynamic changes within time-varying volumetric data. Our texture-based technique tracks various features individually and then uses the tracked objects to better visualize structural changes. We show the effectiveness of our texture-based tracking technique with both synthetic and real world time-varying data. Furthermore, we highlight the specific visualization, annotation, registration, and feature isolation benefits of our technique. For instance, we show how our texture- based tracking can lead to insightful visualizations of time-varying data. Such visualizations, more than traditional visualization techniques, can assist domain scientists to explore and understand dynamic changes.;2007;http://dx.doi.org/10.1109/TVCG.2007.70599;texturebased feature tracking effective timevarying;illustrating changes timevarying volumetric challenging due dynamic changes occurring timesteps changes variations computational fluid dynamic volumes atmospheric datasets follow particular transformation features move different speeds directions making tracking features difficult task texturebased feature tracking technique overcome current limitations found illustration dynamic changes timevarying volumetric texturebased technique tracks various features individually uses tracked objects visualize structural changes effectiveness texturebased tracking technique synthetic real world timevarying furthermore highlight specific annotation registration feature isolation benefits technique instance texture based tracking lead insightful visualizations timevarying visualizations traditional techniques assist domain scientists explore dynamic changes
Efficient Computation and Visualization of Coherent Structures in Fluid Flow Applications;['flowvisualization', 'feature detection'];The recently introduced notion of Finite-Time Lyapunov Exponent to characterize Coherent Lagrangian Structures provides a powerful framework for the visualization and analysis of complex technical flows. Its definition is simple and intuitive, and it has a deep theoretical foundation. While the application of this approach seems straightforward in theory, the associated computational cost is essentially prohibitive. Due to the Lagrangian nature of this technique, a huge number of particle paths must be computed to fill the space-time flow domain. In this paper, we propose a novel scheme for the adaptive computation of FTLE fields in two and three dimensions that significantly reduces the number of required particle paths. Furthermore, for three-dimensional flows, we show on several examples that meaningful results can be obtained by restricting the analysis to a well-chosen plane intersecting the flow domain. Finally, we examine some of the visualization aspects of FTLE-based methods and introduce several new variations that help in the analysis of specific aspects of a flow.;2007;http://dx.doi.org/10.1109/TVCG.2007.70551;efficient computation coherent structures fluid flow applications;recently introduced notion finitetime lyapunov exponent characterize coherent lagrangian structures provides powerful framework analysis complex technical flows definition simple intuitive deep theoretical foundation application seems straightforward theory associated computational cost essentially prohibitive due lagrangian nature technique huge number particle paths must computed fill spacetime flow domain propose scheme adaptive computation ftle fields two three dimensions significantly reduces number required particle paths furthermore threedimensional flows several examples meaningful results obtained restricting analysis wellchosen plane intersecting flow domain finally examine aspects ftlebased methods several variations help analysis specific aspects flow
Efficient Computation of Morse-Smale Complexes for Three-dimensional Scalar Functions;['multi-resolution', 'simplification', 'feature detection'];The Morse-Smale complex is an efficient representation of the gradient behavior of a scalar function, and critical points paired by the complex identify topological features and their importance. We present an algorithm that constructs the Morse-Smale complex in a series of sweeps through the data, identifying various components of the complex in a consistent manner. All components of the complex, both geometric and topological, are computed, providing a complete decomposition of the domain. Efficiency is maintained by representing the geometry of the complex in terms of point sets.;2007;http://dx.doi.org/10.1109/TVCG.2007.70552;efficient computation morsesmale complexes threedimensional scalar functions;morsesmale complex efficient representation gradient behavior scalar function critical points paired complex identify topological features importance algorithm constructs morsesmale complex series sweeps identifying various components complex consistent manner components complex geometric topological computed providing complete decomposition domain efficiency maintained representing geometry complex terms point sets
Topological Landscapes: A Terrain Metaphor for Scientific Data;['feature detection'];"Scientific visualization and illustration tools are designed to help people understand the structure and complexity of scientific data with images that are as informative and intuitive as possible. In this context the use of metaphors plays an important role since they make complex information easily accessible by using commonly known concepts. In this paper we propose a new metaphor, called \""topological landscapes,\"" which facilitates understanding the topological structure of scalar functions. The basic idea is to construct a terrain with the same topology as a given dataset and to display the terrain as an easily understood representation of the actual input data. In this projection from an n-dimensional scalar function to a two-dimensional (2D) model we preserve function values of critical points, the persistence (function span) of topological features, and one possible additional metric property (in our examples volume). By displaying this topologically equivalent landscape together with the original data we harness the natural human proficiency in understanding terrain topography and make complex topological information easily accessible.";2007;http://dx.doi.org/10.1109/TVCG.2007.70601;topological landscapes terrain metaphor scientific;scientific illustration tools designed help people structure complexity scientific images informative intuitive possible context use metaphors plays important role since make complex information easily accessible commonly known concepts propose metaphor called topological landscapes facilitates understanding topological structure scalar functions basic idea construct terrain topology dataset display terrain easily understood representation actual input projection ndimensional scalar function twodimensional model preserve function values critical points persistence function span topological features one possible additional metric property examples volume displaying topologically equivalent landscape together original harness natural human proficiency understanding terrain topography make complex topological information easily accessible
Multifield visualization using local statistical complexity;['feature detection'];Modern unsteady (multi-)field visualizations require an effective reduction of the data to be displayed. From a huge amount of information the most informative parts have to be extracted. Instead of the fuzzy application dependent notion of feature, a new approach based on information theoretic concepts is introduced in this paper to detect important regions. This is accomplished by extending the concept of local statistical complexity from finite state cellular automata to discretized (multi-)fields. Thus, informative parts of the data can be highlighted in an application-independent, purely mathematical sense. The new measure can be applied to unsteady multifields on regular grids in any application domain. The ability to detect and visualize important parts is demonstrated using diffusion, flow, and weather simulations.;2007;http://dx.doi.org/10.1109/TVCG.2007.70615;multifield local statistical complexity;modern unsteady multifield visualizations require effective reduction displayed huge amount information informative parts extracted instead fuzzy application dependent notion feature based information theoretic concepts introduced detect important regions accomplished extending concept local statistical complexity finite state cellular automata discretized multifields thus informative parts highlighted applicationindependent purely mathematical sense measure applied unsteady multifields regular grids application domain ability detect visualize important parts demonstrated diffusion flow weather simulations
Moment Invariants for the Analysis of 2D Flow Fields;['flowvisualization', 'feature detection'];We present a novel approach for analyzing two-dimensional (2D) flow field data based on the idea of invariant moments. Moment invariants have traditionally been used in computer vision applications, and we have adapted them for the purpose of interactive exploration of flow field data. The new class of moment invariants we have developed allows us to extract and visualize 2D flow patterns, invariant under translation, scaling, and rotation. With our approach one can study arbitrary flow patterns by searching a given 2D flow data set for any type of pattern as specified by a user. Further, our approach supports the computation of moments at multiple scales, facilitating fast pattern extraction and recognition. This can be done for critical point classification, but also for patterns with greater complexity. This multi-scale moment representation is also valuable for the comparative visualization of flow field data. The specific novel contributions of the work presented are the mathematical derivation of the new class of moment invariants, their analysis regarding critical point features, the efficient computation of a novel feature space representation, and based upon this the development of a fast pattern recognition algorithm for complex flow structures.;2007;http://dx.doi.org/10.1109/TVCG.2007.70579;moment invariants analysis flow fields;twodimensional flow field based idea invariant moments moment invariants traditionally computer vision applications adapted purpose interactive exploration flow field class moment invariants allows extract visualize flow patterns invariant translation scaling rotation one arbitrary flow patterns searching flow set type pattern specified user supports computation moments multiple scales facilitating fast pattern extraction recognition done critical point classification patterns greater complexity multiscale moment representation valuable comparative flow field specific contributions presented mathematical derivation class moment invariants analysis regarding critical point features efficient computation feature space representation based upon development fast pattern recognition algorithm complex flow structures
